player,pts_diff,home_pts,away_pts,overall_pts,total_games
Allen Iverson,-0.4172222222222217,26.43111111111111,26.01388888888889,26.226757369614514,441
Anthony Davis,-0.9723686084603322,24.26050420168067,23.28813559322034,23.776371308016877,711
Anthony Edwards,2.1334081861794445,19.38144329896907,21.514851485148515,20.46969696969697,198
Bradley Beal,0.8287658990326534,21.42587601078167,22.254641909814325,21.843582887700535,748
Carmelo Anthony,-0.8738782894044874,22.71037463976945,21.836496350364964,22.276287164612036,1379
Damian Lillard,0.04895214263371983,24.422062350119905,24.471014492753625,24.446450060168473,831
DeMar DeRozan,-0.38917233937682383,20.922382671480143,20.53321033210332,20.72992700729927,1096
Devin Booker,1.7451970443349758,22.56551724137931,24.310714285714287,23.42280701754386,570
Dirk Nowitzki,-0.3919924602748317,21.373065015479877,20.981072555205046,21.17890625,1280
Donovan Mitchell,-0.5723353443941654,24.475113122171944,23.90277777777778,24.19221967963387,437
Dwyane Wade,-0.6985950888666856,22.117737003058103,21.419141914191417,21.78174603174603,1260
Giannis Antetokounmpo,-1.526002506265666,23.125,21.598997493734334,22.362953692115145,799
Gilbert Arenas,-1.2927704997574025,22.511111111111113,21.21834061135371,21.859030837004404,454
Ja Morant,-0.832325203252033,22.520325203252032,21.688,22.100806451612904,248
James Harden,-0.23399414227966986,24.592150170648463,24.358156028368793,24.477391304347826,1150
Jayson Tatum,-0.10218326693227198,21.648,21.545816733067728,21.59680638722555,501
Joel Embiid,-0.555014514467647,25.864406779661017,25.30939226519337,25.623501199040767,417
Karl-Anthony Towns,-0.7640052700922269,22.89855072463768,22.134545454545453,22.517241379310345,551
Kevin Durant,0.19887993362569745,27.264406779661016,27.463286713286713,27.362306368330465,1162
Kobe Bryant,-0.17947274292905746,27.177419354838708,26.99794661190965,27.08850457782299,983
Kyrie Irving,-0.2824854940287196,23.168044077134986,22.885558583106267,23.026027397260275,730
LeBron James,1.0048870184963299,26.675550405561992,27.680437424058322,27.166073546856467,1686
Luka Doncic,-1.7401742160278744,27.782857142857143,26.04268292682927,26.941002949852507,339
Michael Redd,-1.4926308598753302,21.782426778242677,20.289795918367346,21.026859504132233,484
Paul George,0.04164847811420813,20.42920353982301,20.47085201793722,20.44988864142539,898
Russell Westbrook,0.702690585472741,22.164203612479476,22.866894197952217,22.508786610878662,1195
Stephen Curry,0.5872159683135294,24.343339587242028,24.930555555555557,24.62873674059788,1037
Trae Young,-1.7745700627056564,25.994350282485875,24.21978021978022,25.094707520891365,359
Yao Ming,-2.535352019043124,21.43127962085308,18.895927601809955,20.13425925925926,432
Zion Williamson,-1.8530465949820787,25.741935483870968,23.88888888888889,24.808,125
