player,pts_diff,home_pts,away_pts,overall_pts,total_games,statistic,reb_diff,home_reb,away_reb,overall_reb,ast_diff,home_ast,away_ast,overall_ast,plus_minus_diff,home_plus_minus,away_plus_minus,overall_plus_minus,fta_diff,home_fta,away_fta,overall_fta
AJ Price,-0.4374272717655776,6.072463768115942,5.635036496350365,5.8545454545454545,275,PTS,,,,,,,,,,,,,,,,
Aaron Brooks,0.09577294685990267,9.536111111111111,9.631884057971014,9.582978723404254,705,PTS,,,,,,,,,,,,,,,,
Aaron Gordon,-0.2833018074821343,13.227564102564102,12.944262295081968,13.087520259319287,617,PTS,,,,,,,,,,,,,,,,
Aaron Gray,0.16603745092117173,3.2467532467532467,3.4127906976744184,3.334355828220859,326,PTS,,,,,,,,,,,,,,,,
Aaron Holiday,-0.17359025692358987,7.222972972972973,7.049382716049383,7.132258064516129,310,PTS,,,,,,,,,,,,,,,,
Aaron McKie,1.133787757284149,4.505747126436781,5.6395348837209305,5.069364161849711,173,PTS,,,,,,,,,,,,,,,,
Aaron Nesmith,0.3110223110223105,4.740259740259741,5.051282051282051,4.896774193548387,155,PTS,,,,,,,,,,,,,,,,
Aaron Wiggins,0.253571428571429,7.571428571428571,7.825,7.695121951219512,82,PTS,,,,,,,,,,,,,,,,
Aaron Williams,-0.4291029350971476,4.073170731707317,3.6440677966101696,3.863070539419087,241,PTS,,,,,,,,,,,,,,,,
Abdel Nader,-0.24201009251471817,4.560975609756097,4.318965517241379,4.443514644351464,239,PTS,,,,,,,,,,,,,,,,
Acie Law,1.027937388547652,3.2244897959183674,4.252427184466019,3.7512437810945274,201,PTS,,,,,,,,,,,,,,,,
Adam Morrison,1.7444041137326085,6.597701149425287,8.342105263157896,7.411042944785276,163,PTS,,,,,,,,,,,,,,,,
Admiral Schofield,1.304444444444445,3.0555555555555554,4.36,3.6826923076923075,104,PTS,,,,,,,,,,,,,,,,
Adonal Foyle,-0.386443720497307,3.4101123595505616,3.0236686390532546,3.2219020172910664,347,PTS,,,,,,,,,,,,,,,,
Adreian Payne,0.4782838983050848,3.6779661016949152,4.15625,3.926829268292683,123,PTS,,,,,,,,,,,,,,,,
Adrian Griffin,-0.22231584015406813,2.843283582089552,2.620967741935484,2.7364341085271318,258,PTS,,,,,,,,,,,,,,,,
Al Harrington,-0.11784140190023429,14.789757412398922,14.671916010498688,14.730053191489361,752,PTS,,,,,,,,,,,,,,,,
Al Horford,-1.0493824946498815,13.9421768707483,12.892794376098418,13.42610198789974,1157,PTS,,,,,,,,,,,,,,,,
Al Jefferson,-0.6955912033760576,15.870488322717621,15.174897119341564,15.517241379310345,957,PTS,,,,,,,,,,,,,,,,
