player,pts_diff,home_pts,away_pts,overall_pts,total_games
Jonathan Kuminga,4.311475409836066,6.065573770491803,10.37704918032787,8.221311475409836,122
Latrell Sprewell,2.462402765773554,14.076923076923077,16.53932584269663,15.294444444444444,180
Cam Thomas,2.4337735094037622,6.938775510204081,9.372549019607844,8.18,100
Tracy McGrady,2.4012237762237767,17.693181818181817,20.094405594405593,18.94181818181818,550
Gary Trent Jr.,2.1966873706004133,12.398550724637682,14.595238095238095,13.446969696969697,264
Anthony Edwards,2.1334081861794445,19.38144329896907,21.514851485148515,20.46969696969697,198
Austin Reaves,2.0700000000000003,7.25,9.32,8.264705882352942,102
Moses Moody,2.020023103581055,3.7346938775510203,5.754716981132075,4.784313725490196,102
Cole Anthony,2.0,13.422535211267606,15.422535211267606,14.422535211267606,142
Nicolo Melli,1.8770513855259612,4.186440677966102,6.063492063492063,5.155737704918033,122
