player,fta_diff,home_fta,away_fta,overall_fta,total_games
Luka Doncic,-1.3290940766550525,8.457142857142857,7.128048780487805,7.814159292035399,339
Zion Williamson,-1.2816180235535075,8.741935483870968,7.4603174603174605,8.096,125
Trae Young,-1.154622213944248,8.028248587570621,6.873626373626373,7.442896935933148,359
Gerald Wallace,-1.1280672597516856,5.16580310880829,4.037735849056604,4.612945838837517,757
Antonio Daniels,-1.1005229419703104,3.6963562753036436,2.595833333333333,3.154004106776181,487
Vlade Divac,-1.0925925925925926,3.2777777777777777,2.185185185185185,2.7314814814814814,108
Blake Griffin,-1.0358711400887444,6.449074074074074,5.41320293398533,5.945303210463734,841
Eddy Curry,-1.03421052631579,6.25,5.21578947368421,5.724598930481283,374
Jalen Green,-0.9245283018867925,4.754716981132075,3.830188679245283,4.2924528301886795,106
Karl-Anthony Towns,-0.8301317523056655,5.713768115942029,4.883636363636364,5.2994555353902,551
