player,pts_diff,home_pts,away_pts,overall_pts,total_games
Jalen Green,-3.528301886792452,20.22641509433962,16.69811320754717,18.462264150943398,106
Gerald Wallace,-3.0120525676298477,14.435233160621761,11.423180592991914,12.959048877146632,757
Wesley Person,-2.5709382151029745,7.413043478260869,4.842105263157895,5.990291262135922,103
Earl Boykins,-2.5357296137339063,11.510729613733906,8.975,10.224101479915433,473
Yao Ming,-2.535352019043124,21.43127962085308,18.895927601809955,20.13425925925926,432
Cameron Johnson,-2.529329047810366,11.450381679389313,8.921052631578947,10.273469387755101,245
Terence Davis,-2.3335390583671316,9.68867924528302,7.355140186915888,8.51643192488263,213
P.J. Washington,-2.323497267759562,13.233333333333333,10.90983606557377,12.061983471074381,242
Terrence Jones,-2.2337608174330104,11.492753623188406,9.258992805755396,10.371841155234657,277
Garrison Mathews,-2.225216888374783,8.098901098901099,5.873684210526315,6.962365591397849,186
